bopt,bname,Bautor,Bmemo,,,,,,,
282.4,"""БИГА И КАСА"",""Илья Донец, Маргарита Щетинская","М.:ИД ""КомпасГид"",""2011",84*90/8,,,,,,,
966.27,"""ГОРОД ХРАМОВ И ПАЛАТ"".АРХИТЕКТУРНЫЕ ПАМЯТНИКИ МОСКВЫ-СВИДЕТЕЛИ СОБЫТИЙ 1812 года",Митрошенкова Л.В.,,,,,,,,
71,"""ЛОГОС"" В ИСТОРИИ ЕВРОПЕЙСКОЙ ФИЛОСОФИИ:ПРОЕКТ И ПАМЯТНИК.Сборник материалов",под ред.Плотникова Н.С.,,,,,,,,
150,"""ПАТРИАРХИ.ЦАРИ.ПРОРОКИ""(РОМАН ПО МОТИВАМ КНИГ ВЕТХОГО ЗАВЕТА)",Уолтер Вангерин,,,,,,,,
352.9,"""ПЬЕСЫ"",""-Иштван Эркень","М.:ИД ""КомпасГид"",""2012",,,,,,,,
229.5,"""СЕВЕРНАЯ СТРАЖА"". КОНТРРАЗВЕДКА НА РУССКОМ СЕВЕРЕ В 1914-1920 ГГ.",Иванов А. А.,,,,,,,,
140,"""СЛАВА БОГУ ЗА МОИ ДУХОВНЫЕ ДАРЫ"",""Нэнси Ру",М.:Триада,5-86181-239-X,,,,,,,
241.56,"""ШТОРМ - 79"" : КАК ПЕТРОВИЧ ИЗ ОДЕССЫ ДВОРЕЦ ИЗ АМИНА БРАЛ.Роман-эпопея по мотивам воспоминаний отставного полковника ГРУ",Кошелев В.М.,,,,,,,,
73.8,"(БЕНЕДИКТ XVI), ШЮРМАН Х. ПРИНЦИПЫ ХРИСТИАНСКОЙ ЭТИКИ / ПЕР. С НЕМ.","Бальтазар Г.У.фон, Ратцингер Й.","В этой книге три всемирно известных богослова предлагают свой ответ на активно обсуждаемые сегодня этические вопросы: насколько оценки и указания Новые Завета, прежде всего апостолаПавла, обязательны в настоящее время (Шюрман); насколько церковное учитель",,,,,,,
138.5,(БЕНЕДИКТ XVI). СУЩНОСТЬ И ЗАДАЧИ БОГОСЛОВИЯ: ПОПЫТКИ ОПРЕДЕЛЕНИЯ В ДИСПУТЕ СОВРЕМЕННОСТИ,Ратцингер Й.,"Богословие и богословы стали публичной и одновременно спорной темой как в церкви, так и в современном обществе в целом В этой ситуации стал неотложным диалог о богословии, разъяснение его путей, задач и границ. Эта книга возникла перед лицом вызовов разв",,,,,,,
138.5,(БЕНЕДИКТ XVI). ЦЕННОСТИ В ЭПОХУ ПЕРЕМЕН / ПЕР. С НЕМ. (НОВИНКА),Ратцингер Й.,"Эта книга, подготовленная незадолго до избрания кардинала Йозефа Ратцингера Папой, проясняет перспективы его понтификата. Автор убежден: не может быть мира во всем мире без нового определения взаимоотношений между разумом и верой. Книга вносит важный вкла",,,,,,,
464.4,(НЕО)СОЗНАННОЕ.КАК БЕЗСОЗНАТЕЛЬНЫЙ УМ УПРАВЛЯЕТ НАШИМ ПОВЕДЕНИЕМ,Млодинов,,,,,,,,
400,(ТРИАД)ДЕСЯТЬ ДНЕЙ БЕЗ СОЛНЦА,Комраков Олег,,,,,,,,
205.2,"10-Я ТАНКОВАЯ ДИВИЗИЯ СС""ФРУНДСБЕРГ"",""Пономаренко Р. О.",М.:ВЕЧЕ,978-5-9533-3932-2,,,,,,,
130,10 ВОПРОСОВДЛЯ ОПРЕДЕЛЕНИЯ ВАШЕГО ДУХОВНОГО ЗДОРОВЬЯ,Дональд Уитни,,,,,,,,
49.2,100 ИГР И УПРАЖНЕНИЙ ДЛЯ ВАШЕЙ СОБАКИ.,Селина дель Амо,,,,,,,,
43.9,100 КОШАЧЬИХ «ПОЧЕМУ». ВОПРОСЫ И ОТВЕТЫ (Н/О),Непомнящий Н.Н.,,,,,,,,
76.2,100 ЛУЧШИХ КНИГ ДЛЯ ДЕТЕЙ 2012 ГОДА,"Сост.,Т.Калашникова и др.",,,,,,,,
143.9,100 ПРОВЕРЕННЫХ СПОСОБОВ УГОДИТЬ СВОЕМУ НАЧАЛЬНИКУ,Степанов С.,978-5-91775-039-2,,,,,,,
43.9,100 СОБАЧЬИХ «ПОЧЕМУ».,"Гриценко В.В., Пилюгин В.В.",,,,,,,,
159.9,"1000 ОЛИМПИАДНЫХ ЗАДАНИЙ ПО МАТЕМАТИКЕ В НАЧАЛЬНОЙ ШКОЛЕ. - ИЗД. 4-Е, СТЕР.",Дик Н.Ф.,"В этой оригинальной книге собрано более 500 логических и занимательных примеров и задач различных уровней сложности, позволяющих учителю не только подготовить младших школьников к общешкольным олимпиадам по математике, но и победить ученикам на муниципаль",,,,,,,
130.5,"1000 ПРОФЕССИЙ ТРАДИЦИОННЫХ, НОВЫХ, РЕДКИХ: КРАТКИЙ ЭНЦИКЛОПЕДИЧЕСКИЙ СЛОВАРЬ. - ИЗД. 2-Е, ИСПР. И ДОП.",Горбунова М.В.,"Словарь является популярным изданием. В нем представлены короткие стандартизированные описания 1000 современных традиционных, новых и редких профессий, специальностей, должностей и занятий. Получение краткой, но содержательно емкой информации об актуально",,,,,,,
150,101 ИДЕЯ ДЛЯ МАЛЫХ ГРУПП (2-е издание),"пер. с англ.,О.Руснак",,,,,,,,
72.4,101 СОВЕТ ПО PR,Масленников Р.,,,,,,,,
72.4,101 СОВЕТ ПО ТАЙМ-МЕНЕДЖМЕНТУ,Яныхбаш А.,,,,,,,,
324,"101 УЗЕЛОК НА ПАМЯТЬ ВСЕ ОБ ЭТОМ ЗНАЮТ, НО НИКТО НЕ ПОМНИТ",Зелински Э.,"Книга содежит сто днин прктический совет, помогающий читателю добыть себе изрядный кусок времени в жизни, отказавшись от искусственного усложнения простых, по сути, ситуаций.",,,,,,,
200,"12 "" ХРИСТИАНСКИХ "" ВЕРОВАНИЙ, КОТОРЫЕ МОГУТ СВЕСТИ С УМА. 3-е изд.",Клауд Г.,,,,,,,,
96.4,"12 ЛУЧШИХ СЪЕДОБНЫХ ГРИБОВ ЦЕНТРАЛЬНОЙ РОССИИ, КОТОРЫЕ ДОЛЖЕН ЗНАТЬ КАЖДЫЙ ГРИБНИК. РАСШИРЕННОЕ ИЗДАНИЕ",Вишневский М.В.,,,,,,,,
297,12100 БУХГАЛТЕРСКИХ ПРОВОДОК С КОММЕНТАРИЯМИ.ИЗД 8.,А.Б.Тепляков,,,,,,,,
87.9,"126 ИГР И ЗАГАДОК. СЕРИЯ "" ИГРЫ ДЛЯ МАЛЫШЕЙ"",""Ван Гуль",М.:А.В.К-Тимошка,978-5-324-00093-0,,,,,,,
549,17-Я ОПЕРАТИВНАЯ ЭСКАДРА КОРАБЛЕЙ ТИХООКЕАНСКОГО ФЛОТА,Матюшин Н. Ф.,,,,,,,,
223.3,"1917. РАЗГАДКА ""РУССКОЙ"" РЕВОЛЮЦИИ",Стариков Н В,,,,,,,,
